,제목,청원시작일,청원종료일,참여인원,청원답변일,URL
136,대검찰청의 불법적인 성폭력 수사메뉴얼  중단을 요청합니다.,2018. 05. 28,2018. 06. 27,"217,143",2018. 07. 19,https://www1.president.go.kr/petitions/246489
137,무고죄 특별법의 제정을 촉구합니다.,2018. 05. 25,2018. 06. 24,"240,618",2018. 07. 19,https://www1.president.go.kr/petitions/244045
138,대구 동성로/서울 시청광장   퀴어행사(동성애축제)개최를 반대합니다.,2018. 06. 14,2018. 07. 14,"219,987",2018. 07. 13,https://www1.president.go.kr/petitions/270921
139,자주포 폭발사고로 전신화상을 입은 장병을 치료해 주시고 국가유공자로 지정해 주십시오,2018. 05. 18,2018. 06. 17,"302,635",2018. 07. 11,https://www1.president.go.kr/petitions/236397
140,유기견 보호소 폐지를 막아주세요!!!,2018. 05. 13,2018. 06. 12,"226,252",2018. 06. 19,https://www1.president.go.kr/petitions/231701
141,티비 조선의  종편 허가 취소 청원,2018. 04. 14,2018. 05. 14,"236,714",2018. 06. 14,https://www1.president.go.kr/petitions/199622
142,(한번씩만 봐주세요.)저의 일은 아니지만 이런 일은 좀 강력 처벌 강력하게 조치 해주셔야할거 같아서 글을 올립니다.,2018. 05. 02,2018. 06. 01,"334,173",2018. 06. 11,https://www1.president.go.kr/petitions/219348
143,어른들에게 성적 학대와 조롱을 당하고 있는 아이들을 구해주세요.,2018. 04. 15,2018. 05. 15,"216,163",2018. 06. 11,https://www1.president.go.kr/petitions/199778
144,선관위의 위법사항 내용에 따른 국회의원 전원 위법사실 여부 전수조사를 청원합니다.,2018. 04. 16,2018. 05. 16,"260,624",2018. 06. 05,https://www1.president.go.kr/petitions/201953
145,삼성증권 시스템 규제와 공매도 금지,2018. 04. 06,2018. 05. 06,"242,286",2018. 05. 31,https://www1.president.go.kr/petitions/187633
146,세월호 관련 청문회 위증한 조여옥대위 징계바랍니다.,2018. 03. 28,2018. 04. 27,"215,036",2018. 05. 25,https://www1.president.go.kr/petitions/178781
147,합정 **** 불법 누드촬영,2018. 05. 17,2018. 06. 16,"201,590",2018. 05. 21,https://www1.president.go.kr/petitions/235102
148,위장•몰래카메라 판매금지와 몰카범죄 처벌을 강화해주세요.,2018. 03. 23,2018. 04. 22,"209,494",2018. 05. 21,https://www1.president.go.kr/petitions/173355
149,여성도 대한민국 국민입니다. 성별 관계없는 국가의 보호를 요청합니다.,2018. 05. 11,2018. 06. 10,"419,006",2018. 05. 21,https://www1.president.go.kr/petitions/230552
